date;currency;digital_code;letter_code;rate
1974-04-01;Австралийский доллар;036;AUD;1.11
1974-04-01;Болгарский лев;975;BGN;0.7692
1974-04-01;Венгерский форинт;348;HUF;0.0767
1974-04-01;Датская крона;208;DKK;0.1227
1974-04-01;Доллар США;840;USD;0.76
1974-04-01;Индийская рупия;356;INR;0.0961
1974-04-01;Канадский доллар;124;CAD;0.7824
1974-04-01;Китайский юань;156;CNY;0.45
1974-04-01;Марка ГДР;;;0.405
1974-04-01;Марка ФРГ;;;0.299
1974-04-01;Монгольский тугрик;;;0.225
1974-04-01;Новозеландский доллар;;;1.14
1974-04-01;Норвежская крона;578;NOK;0.1354
1974-04-01;Польский злотый;985;PLN;0.225
1974-04-01;Сингапурский доллар;702;SGD;0.294
1974-04-01;Турецкая лира;949;TRY;0.0533
1974-04-01;Французский франк;250;FRF;0.1597
1974-04-01;Фунт стерлингов Соединенного королевства;826;GBP;1.82
1974-04-01;Чехословацкая крона;;;0.125
1974-04-01;Шведская крона;752;SEK;0.1642
1974-04-01;Швейцарский франк;756;CHF;0.255
1974-04-01;Югославский динар;;;0.0439
1974-04-01;Японская иена;392;JPY;0.00276
1974-05-01;Австралийский доллар;036;AUD;1.11
1974-05-01;Болгарский лев;975;BGN;0.7692
1974-05-01;Венгерский форинт;348;HUF;0.0767
1974-05-01;Датская крона;208;DKK;0.1235
1974-05-01;Доллар США;840;USD;0.7475
1974-05-01;Индийская рупия;356;INR;0.095
1974-05-01;Канадский доллар;124;CAD;0.7824
1974-05-01;Китайский юань;156;CNY;0.45
1974-05-01;Марка ГДР;;;0.405
1974-05-01;Марка ФРГ;;;0.3
1974-05-01;Монгольский тугрик;;;0.225
1974-05-01;Новозеландский доллар;;;1.14
1974-05-01;Норвежская крона;578;NOK;0.1377
1974-05-01;Польский злотый;985;PLN;0.225
1974-05-01;Сингапурский доллар;702;SGD;0.31
1974-05-01;Турецкая лира;949;TRY;0.0533
1974-05-01;Французский франк;250;FRF;0.155
1974-05-01;Фунт стерлингов Соединенного королевства;826;GBP;1.78
1974-05-01;Чехословацкая крона;;;0.125
1974-05-01;Шведская крона;752;SEK;0.17
1974-05-01;Швейцарский франк;756;CHF;0.255
1974-05-01;Югославский динар;;;0.0439
1974-05-01;Японская иена;392;JPY;0.0027
1974-06-01;Австралийский доллар;036;AUD;1.11
1974-06-01;Болгарский лев;975;BGN;0.7692
1974-06-01;Венгерский форинт;348;HUF;0.0767
1974-06-01;Датская крона;208;DKK;0.1265
1974-06-01;Доллар США;840;USD;0.7461
1974-06-01;Индийская рупия;356;INR;0.0955
1974-06-01;Канадский доллар;124;CAD;0.7772
1974-06-01;Китайский юань;156;CNY;0.45
1974-06-01;Марка ГДР;;;0.405
1974-06-01;Марка ФРГ;;;0.298
1974-06-01;Монгольский тугрик;;;0.225
1974-06-01;Новозеландский доллар;;;1.14
1974-06-01;Норвежская крона;578;NOK;0.1388
1974-06-01;Польский злотый;985;PLN;0.225
1974-06-01;Сингапурский доллар;702;SGD;0.31
1974-06-01;Турецкая лира;949;TRY;0.0533
1974-06-01;Французский франк;250;FRF;0.1532
1974-06-01;Фунт стерлингов Соединенного королевства;826;GBP;1.78
1974-06-01;Чехословацкая крона;;;0.125
1974-06-01;Шведская крона;752;SEK;0.1731
1974-06-01;Швейцарский франк;756;CHF;0.253
1974-06-01;Югославский динар;;;0.0439
1974-06-01;Японская иена;392;JPY;0.00268
1974-07-01;Австралийский доллар;036;AUD;1.11
1974-07-01;Болгарский лев;975;BGN;0.7692
1974-07-01;Венгерский форинт;348;HUF;0.0767
1974-07-01;Датская крона;208;DKK;0.1244
1974-07-01;Доллар США;840;USD;0.7525
1974-07-01;Индийская рупия;356;INR;0.0955
1974-07-01;Канадский доллар;124;CAD;0.7762
1974-07-01;Китайский юань;156;CNY;0.45
1974-07-01;Марка ГДР;;;0.405
1974-07-01;Марка ФРГ;;;0.294
1974-07-01;Монгольский тугрик;;;0.225
1974-07-01;Новозеландский доллар;;;1.14
1974-07-01;Норвежская крона;578;NOK;0.1383
1974-07-01;Польский злотый;985;PLN;0.225
1974-07-01;Сингапурский доллар;702;SGD;0.31
1974-07-01;Турецкая лира;949;TRY;0.0533
1974-07-01;Французский франк;250;FRF;0.1536
1974-07-01;Фунт стерлингов Соединенного королевства;826;GBP;1.78
1974-07-01;Чехословацкая крона;;;0.125
1974-07-01;Шведская крона;752;SEK;0.1706
1974-07-01;Швейцарский франк;756;CHF;0.2492
1974-07-01;Югославский динар;;;0.0439
1974-07-01;Японская иена;392;JPY;0.00265
